"Time","perf_app1"
2026-09-11 15:11:15,0.123%
2026-09-11 15:11:30,0.0980%
2026-09-11 15:11:45,0.0980%
2026-09-11 15:12:00,0.0629%
2026-09-11 15:12:15,0.0922%
2026-09-11 15:12:30,0.0591%
2026-09-11 15:12:45,0.0545%
2026-09-11 15:13:00,0.0722%
2026-09-11 15:13:15,0.0649%
2026-09-11 15:13:30,0.0715%
2026-09-11 15:13:45,0.110%
2026-09-11 15:14:00,0.204%
2026-09-11 15:14:15,0.112%
2026-09-11 15:14:30,0.112%
2026-09-11 15:14:45,0.0437%
2026-09-11 15:15:00,0.0815%
2026-09-11 15:15:15,0.0815%
2026-09-11 15:15:30,0.0627%
2026-09-11 15:15:45,0.0890%
2026-09-11 15:16:00,0.0890%
2026-09-11 15:16:15,0.0780%
2026-09-11 15:16:30,0.117%
2026-09-11 15:16:45,0.0833%
2026-09-11 15:17:00,0.0833%
2026-09-11 15:17:15,0.0724%
2026-09-11 15:17:30,0.116%
2026-09-11 15:17:45,0.116%
2026-09-11 15:18:00,0.137%
2026-09-11 15:18:15,0.105%
2026-09-11 15:18:30,0.103%
2026-09-11 15:18:45,0.127%
2026-09-11 15:19:00,0.127%
2026-09-11 15:19:15,0.117%
2026-09-11 15:19:30,0.455%
2026-09-11 15:19:45,0.455%
2026-09-11 15:20:00,0.123%
2026-09-11 15:20:15,0.123%
2026-09-11 15:20:30,0.124%
2026-09-11 15:20:45,0.137%
2026-09-11 15:21:00,0.132%
2026-09-11 15:21:15,0.112%
2026-09-11 15:21:30,0.234%
2026-09-11 15:21:45,0.0749%
2026-09-11 15:22:00,0.378%
2026-09-11 15:22:15,0.378%
2026-09-11 15:22:30,0.0911%
2026-09-11 15:22:45,0.113%
2026-09-11 15:23:00,0.113%
2026-09-11 15:23:15,0.0707%
2026-09-11 15:23:30,0.132%
2026-09-11 15:23:45,0.0975%
2026-09-11 15:24:00,0.106%
2026-09-11 15:24:15,0.0865%
2026-09-11 15:24:30,0.135%
2026-09-11 15:24:45,0.0942%
2026-09-11 15:25:00,0.0942%
2026-09-11 15:25:15,0.0804%
2026-09-11 15:25:30,0.0765%
2026-09-11 15:25:45,0.0814%
2026-09-11 15:26:00,0.117%
2026-09-11 15:26:15,0.117%
2026-09-11 15:26:30,0.111%
2026-09-11 15:26:45,0.0686%
2026-09-11 15:27:00,0.0969%
2026-09-11 15:27:15,0.523%
2026-09-11 15:27:30,0.0859%
2026-09-11 15:27:45,0.102%
2026-09-11 15:28:00,0.0941%
2026-09-11 15:28:15,0.0969%
2026-09-11 15:28:30,0.0850%
2026-09-11 15:28:45,0.0952%
2026-09-11 15:29:00,0.0933%
2026-09-11 15:29:15,0.145%
2026-09-11 15:29:30,0.102%
2026-09-11 15:29:45,0.252%
2026-09-11 15:30:00,0.130%
2026-09-11 15:30:15,0.112%
2026-09-11 15:30:30,0.112%
2026-09-11 15:30:45,0.0888%
2026-09-11 15:31:00,0.0669%
2026-09-11 15:31:15,0.0858%
2026-09-11 15:31:30,0.110%
2026-09-11 15:31:45,0.0810%
2026-09-11 15:32:00,0.103%
2026-09-11 15:32:15,0.113%
