"Time","perf_app1"
2026-09-11 15:11:15,38.8 MiB
2026-09-11 15:11:30,38.8 MiB
2026-09-11 15:11:45,38.8 MiB
2026-09-11 15:12:00,38.8 MiB
2026-09-11 15:12:15,37.1 MiB
2026-09-11 15:12:30,37.3 MiB
2026-09-11 15:12:45,37.4 MiB
2026-09-11 15:13:00,37.4 MiB
2026-09-11 15:13:15,37.4 MiB
2026-09-11 15:13:30,37.4 MiB
2026-09-11 15:13:45,37.4 MiB
2026-09-11 15:14:00,37.4 MiB
2026-09-11 15:14:15,37.4 MiB
2026-09-11 15:14:30,37.4 MiB
2026-09-11 15:14:45,37.4 MiB
2026-09-11 15:15:00,37.4 MiB
2026-09-11 15:15:15,37.4 MiB
2026-09-11 15:15:30,37.4 MiB
2026-09-11 15:15:45,37.4 MiB
2026-09-11 15:16:00,37.4 MiB
2026-09-11 15:16:15,37.4 MiB
2026-09-11 15:16:30,37.4 MiB
2026-09-11 15:16:45,37.4 MiB
2026-09-11 15:17:00,37.4 MiB
2026-09-11 15:17:15,37.4 MiB
2026-09-11 15:17:30,37.5 MiB
2026-09-11 15:17:45,37.5 MiB
2026-09-11 15:18:00,37.5 MiB
2026-09-11 15:18:15,37.5 MiB
2026-09-11 15:18:30,37.5 MiB
2026-09-11 15:18:45,37.5 MiB
2026-09-11 15:19:00,37.5 MiB
2026-09-11 15:19:15,37.5 MiB
2026-09-11 15:19:30,37.5 MiB
2026-09-11 15:19:45,37.5 MiB
2026-09-11 15:20:00,37.5 MiB
2026-09-11 15:20:15,37.5 MiB
2026-09-11 15:20:30,37.5 MiB
2026-09-11 15:20:45,37.5 MiB
2026-09-11 15:21:00,37.5 MiB
2026-09-11 15:21:15,37.5 MiB
2026-09-11 15:21:30,37.5 MiB
2026-09-11 15:21:45,37.5 MiB
2026-09-11 15:22:00,37.5 MiB
2026-09-11 15:22:15,37.5 MiB
2026-09-11 15:22:30,37.5 MiB
2026-09-11 15:22:45,37.5 MiB
2026-09-11 15:23:00,37.5 MiB
2026-09-11 15:23:15,37.5 MiB
2026-09-11 15:23:30,37.5 MiB
2026-09-11 15:23:45,37.5 MiB
2026-09-11 15:24:00,37.5 MiB
2026-09-11 15:24:15,37.5 MiB
2026-09-11 15:24:30,37.7 MiB
2026-09-11 15:24:45,37.5 MiB
2026-09-11 15:25:00,37.5 MiB
2026-09-11 15:25:15,37.5 MiB
2026-09-11 15:25:30,37.5 MiB
2026-09-11 15:25:45,37.5 MiB
2026-09-11 15:26:00,37.5 MiB
2026-09-11 15:26:15,37.5 MiB
2026-09-11 15:26:30,37.5 MiB
2026-09-11 15:26:45,37.5 MiB
2026-09-11 15:27:00,37.5 MiB
2026-09-11 15:27:15,37.5 MiB
2026-09-11 15:27:30,37.5 MiB
2026-09-11 15:27:45,37.5 MiB
2026-09-11 15:28:00,37.5 MiB
2026-09-11 15:28:15,37.5 MiB
2026-09-11 15:28:30,37.5 MiB
2026-09-11 15:28:45,37.5 MiB
2026-09-11 15:29:00,37.5 MiB
2026-09-11 15:29:15,37.7 MiB
2026-09-11 15:29:30,37.5 MiB
2026-09-11 15:29:45,37.5 MiB
2026-09-11 15:30:00,37.5 MiB
2026-09-11 15:30:15,37.5 MiB
2026-09-11 15:30:30,37.5 MiB
2026-09-11 15:30:45,37.5 MiB
2026-09-11 15:31:00,37.5 MiB
2026-09-11 15:31:15,37.5 MiB
2026-09-11 15:31:30,37.5 MiB
2026-09-11 15:31:45,37.5 MiB
2026-09-11 15:32:00,37.5 MiB
2026-09-11 15:32:15,37.5 MiB
2026-09-11 15:32:30,37.5 MiB
2026-09-11 15:32:45,37.5 MiB
2026-09-11 15:33:00,37.5 MiB
2026-09-11 15:33:15,37.5 MiB
2026-09-11 15:33:30,37.5 MiB
2026-09-11 15:33:45,37.5 MiB
2026-09-11 15:34:00,37.5 MiB
2026-09-11 15:34:15,37.5 MiB
2026-09-11 15:34:30,37.5 MiB
2026-09-11 15:34:45,37.5 MiB
2026-09-11 15:35:00,37.5 MiB
2026-09-11 15:35:15,37.5 MiB
2026-09-11 15:35:30,37.5 MiB
2026-09-11 15:35:45,37.5 MiB
2026-09-11 15:36:00,37.5 MiB
2026-09-11 15:36:15,37.5 MiB
2026-09-11 15:36:30,37.5 MiB
2026-09-11 15:36:45,37.5 MiB
2026-09-11 15:37:00,37.5 MiB
2026-09-11 15:37:15,37.5 MiB
2026-09-11 15:37:30,37.5 MiB
2026-09-11 15:37:45,37.5 MiB
2026-09-11 15:38:00,37.5 MiB
2026-09-11 15:38:15,37.5 MiB
2026-09-11 15:38:30,37.5 MiB
2026-09-11 15:38:45,37.5 MiB
2026-09-11 15:39:00,37.5 MiB
2026-09-11 15:39:15,37.5 MiB
2026-09-11 15:39:30,37.5 MiB
2026-09-11 15:39:45,37.5 MiB
2026-09-11 15:40:00,37.5 MiB
2026-09-11 15:40:15,37.5 MiB
2026-09-11 15:40:30,37.5 MiB
2026-09-11 15:40:45,37.5 MiB
2026-09-11 15:41:00,37.5 MiB
2026-09-11 15:41:15,37.5 MiB
2026-09-11 15:41:30,37.5 MiB
2026-09-11 15:41:45,37.5 MiB
2026-09-11 15:42:00,37.5 MiB
2026-09-11 15:42:15,37.5 MiB
2026-09-11 15:42:30,37.5 MiB
2026-09-11 15:42:45,37.5 MiB
2026-09-11 15:43:00,37.5 MiB
2026-09-11 15:43:15,37.5 MiB
2026-09-11 15:43:30,37.5 MiB
2026-09-11 15:43:45,37.5 MiB
2026-09-11 15:44:00,37.5 MiB
2026-09-11 15:44:15,37.5 MiB
2026-09-11 15:44:30,37.5 MiB
2026-09-11 15:44:45,37.5 MiB
2026-09-11 15:45:00,37.5 MiB
2026-09-11 15:45:15,37.5 MiB
2026-09-11 15:45:30,37.5 MiB
2026-09-11 15:45:45,37.5 MiB
2026-09-11 15:46:00,37.5 MiB
2026-09-11 15:46:15,37.5 MiB
2026-09-11 15:46:30,37.5 MiB
2026-09-11 15:46:45,37.5 MiB
2026-09-11 15:47:00,37.5 MiB
2026-09-11 15:47:15,37.5 MiB
2026-09-11 15:47:30,37.5 MiB
2026-09-11 15:47:45,37.5 MiB
2026-09-11 15:48:00,37.5 MiB
2026-09-11 15:48:15,37.5 MiB
2026-09-11 15:48:30,37.5 MiB
2026-09-11 15:48:45,37.5 MiB
2026-09-11 15:49:00,37.5 MiB
2026-09-11 15:49:15,37.5 MiB
2026-09-11 15:49:30,37.5 MiB
2026-09-11 15:49:45,37.5 MiB
2026-09-11 15:50:00,37.5 MiB
2026-09-11 15:50:15,37.5 MiB
2026-09-11 15:50:30,37.5 MiB
2026-09-11 15:50:45,37.5 MiB
2026-09-11 15:51:00,37.5 MiB
2026-09-11 15:51:15,37.5 MiB
2026-09-11 15:51:30,37.5 MiB
2026-09-11 15:51:45,37.5 MiB
2026-09-11 15:52:00,37.5 MiB
2026-09-11 15:52:15,37.5 MiB
2026-09-11 15:52:30,37.5 MiB
2026-09-11 15:52:45,37.5 MiB
2026-09-11 15:53:00,37.5 MiB
2026-09-11 15:53:15,37.5 MiB
2026-09-11 15:53:30,37.5 MiB
2026-09-11 15:53:45,37.5 MiB
2026-09-11 15:54:00,37.5 MiB
2026-09-11 15:54:15,37.5 MiB
2026-09-11 15:54:30,37.5 MiB
2026-09-11 15:54:45,37.5 MiB
2026-09-11 15:55:00,37.5 MiB
2026-09-11 15:55:15,37.5 MiB
2026-09-11 15:55:30,37.5 MiB
2026-09-11 15:55:45,37.5 MiB
2026-09-11 15:56:00,37.5 MiB
2026-09-11 15:56:15,37.5 MiB
2026-09-11 15:56:30,37.5 MiB
2026-09-11 15:56:45,37.5 MiB
2026-09-11 15:57:00,37.5 MiB
2026-09-11 15:57:15,37.5 MiB
2026-09-11 15:57:30,37.5 MiB
2026-09-11 15:57:45,37.5 MiB
2026-09-11 15:58:00,37.5 MiB
2026-09-11 15:58:15,37.5 MiB
2026-09-11 15:58:30,37.5 MiB
2026-09-11 15:58:45,37.5 MiB
2026-09-11 15:59:00,37.7 MiB
2026-09-11 15:59:15,37.5 MiB
2026-09-11 15:59:30,37.5 MiB
2026-09-11 15:59:45,37.5 MiB
2026-09-11 16:00:00,37.5 MiB
2026-09-11 16:00:15,37.5 MiB
2026-09-11 16:00:30,37.5 MiB
2026-09-11 16:00:45,37.5 MiB
2026-09-11 16:01:00,37.5 MiB
2026-09-11 16:01:15,37.5 MiB
2026-09-11 16:01:30,37.5 MiB
2026-09-11 16:01:45,37.5 MiB
2026-09-11 16:02:00,37.5 MiB
2026-09-11 16:02:15,37.5 MiB
2026-09-11 16:02:30,37.5 MiB
