"Time","perf_app1"
2026-09-11 15:11:15,0 B/s
2026-09-11 15:11:30,0 B/s
2026-09-11 15:11:45,0 B/s
2026-09-11 15:12:00,0 B/s
2026-09-11 15:12:15,0 B/s
2026-09-11 15:12:30,22.7 B/s
2026-09-11 15:12:45,42.7 B/s
2026-09-11 15:13:00,43.3 B/s
2026-09-11 15:13:15,49.8 B/s
2026-09-11 15:13:30,54.5 B/s
2026-09-11 15:13:45,55.1 B/s
2026-09-11 15:14:00,85.1 B/s
2026-09-11 15:14:15,64.1 B/s
2026-09-11 15:14:30,43.9 B/s
2026-09-11 15:14:45,49.0 B/s
2026-09-11 15:15:00,62.6 B/s
2026-09-11 15:15:15,57.9 B/s
2026-09-11 15:15:30,57.2 B/s
2026-09-11 15:15:45,67.1 B/s
2026-09-11 15:16:00,66.5 B/s
2026-09-11 15:16:15,66.5 B/s
2026-09-11 15:16:30,65.3 B/s
2026-09-11 15:16:45,80.4 B/s
2026-09-11 15:17:00,80.4 B/s
2026-09-11 15:17:15,85.7 B/s
2026-09-11 15:17:30,66.4 B/s
2026-09-11 15:17:45,66.4 B/s
2026-09-11 15:18:00,66.4 B/s
2026-09-11 15:18:15,121 B/s
2026-09-11 15:18:30,85.4 B/s
2026-09-11 15:18:45,105 B/s
2026-09-11 15:19:00,100 B/s
2026-09-11 15:19:15,98.9 B/s
2026-09-11 15:19:30,118 B/s
2026-09-11 15:19:45,118 B/s
2026-09-11 15:20:00,80.1 B/s
2026-09-11 15:20:15,80.1 B/s
2026-09-11 15:20:30,60.0 B/s
2026-09-11 15:20:45,94.1 B/s
2026-09-11 15:21:00,79.5 B/s
2026-09-11 15:21:15,80.6 B/s
2026-09-11 15:21:30,87.3 B/s
2026-09-11 15:21:45,66.6 B/s
2026-09-11 15:22:00,99.7 B/s
2026-09-11 15:22:15,99.7 B/s
2026-09-11 15:22:30,67.0 B/s
2026-09-11 15:22:45,81.6 B/s
2026-09-11 15:23:00,61.2 B/s
2026-09-11 15:23:15,74.6 B/s
2026-09-11 15:23:30,93.9 B/s
2026-09-11 15:23:45,60.8 B/s
2026-09-11 15:24:00,94.9 B/s
2026-09-11 15:24:15,97.6 B/s
2026-09-11 15:24:30,83.5 B/s
2026-09-11 15:24:45,106 B/s
2026-09-11 15:25:00,85.6 B/s
2026-09-11 15:25:15,72.2 B/s
2026-09-11 15:25:30,72.2 B/s
2026-09-11 15:25:45,81.5 B/s
2026-09-11 15:26:00,77.4 B/s
2026-09-11 15:26:15,72.1 B/s
2026-09-11 15:26:30,70.4 B/s
2026-09-11 15:26:45,76.3 B/s
2026-09-11 15:27:00,70.4 B/s
2026-09-11 15:27:15,103 B/s
2026-09-11 15:27:30,61.5 B/s
2026-09-11 15:27:45,80.8 B/s
2026-09-11 15:28:00,80.8 B/s
2026-09-11 15:28:15,66.9 B/s
2026-09-11 15:28:30,65.3 B/s
2026-09-11 15:28:45,66.0 B/s
2026-09-11 15:29:00,56.7 B/s
2026-09-11 15:29:15,59.3 B/s
2026-09-11 15:29:30,41.3 B/s
2026-09-11 15:29:45,47.2 B/s
2026-09-11 15:30:00,41.3 B/s
2026-09-11 15:30:15,63.2 B/s
2026-09-11 15:30:30,61.9 B/s
2026-09-11 15:30:45,43.2 B/s
2026-09-11 15:31:00,59.3 B/s
2026-09-11 15:31:15,58.0 B/s
2026-09-11 15:31:30,86.7 B/s
2026-09-11 15:31:45,105 B/s
2026-09-11 15:32:00,79.7 B/s
2026-09-11 15:32:15,85.6 B/s
2026-09-11 15:32:30,81.4 B/s
2026-09-11 15:32:45,66.6 B/s
2026-09-11 15:33:00,66.6 B/s
2026-09-11 15:33:15,56.2 B/s
2026-09-11 15:33:30,43.5 B/s
2026-09-11 15:33:45,42.9 B/s
2026-09-11 15:34:00,43.9 B/s
