"Time","perf_app1"
2026-09-11 17:48:30,107 B/s
2026-09-11 17:48:45,89.6 B/s
2026-09-11 17:49:00,73.0 B/s
2026-09-11 17:49:15,67.6 B/s
2026-09-11 17:49:30,102 B/s
2026-09-11 17:49:45,89.8 B/s
2026-09-11 17:50:00,104 B/s
2026-09-11 17:50:15,73.3 B/s
2026-09-11 17:50:30,109 B/s
2026-09-11 17:50:45,111 B/s
2026-09-11 17:51:00,128 B/s
2026-09-11 17:51:15,110 B/s
2026-09-11 17:51:30,97.2 B/s
2026-09-11 17:51:45,118 B/s
2026-09-11 17:52:00,130 B/s
2026-09-11 17:52:15,110 B/s
2026-09-11 17:52:30,113 B/s
2026-09-11 17:52:45,131 B/s
2026-09-11 17:53:00,132 B/s
2026-09-11 17:53:15,128 B/s
2026-09-11 17:53:30,111 B/s
2026-09-11 17:53:45,112 B/s
2026-09-11 17:54:00,112 B/s
2026-09-11 17:54:15,113 B/s
2026-09-11 17:54:30,113 B/s
2026-09-11 17:54:45,113 B/s
2026-09-11 17:55:00,127 B/s
2026-09-11 17:55:15,113 B/s
2026-09-11 17:55:30,131 B/s
2026-09-11 17:55:45,117 B/s
2026-09-11 17:56:00,128 B/s
2026-09-11 17:56:15,109 B/s
2026-09-11 17:56:30,96.8 B/s
2026-09-11 17:56:45,118 B/s
2026-09-11 17:57:00,129 B/s
2026-09-11 17:57:15,110 B/s
2026-09-11 17:57:30,137 B/s
2026-09-11 17:57:45,123 B/s
2026-09-11 17:58:00,112 B/s
2026-09-11 17:58:15,111 B/s
2026-09-11 17:58:30,92.4 B/s
2026-09-11 17:58:45,80.6 B/s
2026-09-11 17:59:00,99.8 B/s
2026-09-11 17:59:15,87.6 B/s
2026-09-11 17:59:30,102 B/s
2026-09-11 17:59:45,126 B/s
2026-09-11 18:00:00,127 B/s
2026-09-11 18:00:15,115 B/s
2026-09-11 18:00:30,126 B/s
2026-09-11 18:00:45,92.6 B/s
2026-09-11 18:01:00,80.7 B/s
2026-09-11 18:01:15,99.9 B/s
2026-09-11 18:01:30,87.4 B/s
2026-09-11 18:01:45,87.2 B/s
2026-09-11 18:02:00,98.2 B/s
2026-09-11 18:02:15,111 B/s
2026-09-11 18:02:30,114 B/s
2026-09-11 18:02:45,112 B/s
2026-09-11 18:03:00,95.5 B/s
2026-09-11 18:03:15,80.7 B/s
2026-09-11 18:03:30,80.7 B/s
2026-09-11 18:03:45,99.9 B/s
2026-09-11 18:04:00,87.3 B/s
2026-09-11 18:04:15,101 B/s
2026-09-11 18:04:30,116 B/s
